137.94.0.0/16	RMC - Royal Military College of Canada
199.246.247.0/24	Canadian Radio-television and Telecommunications 
199.246.248.0/24	Canadian Radio-television and Telecommunications 
199.246.249.0/24	Canadian Radio-television and Telecommunications 
199.246.250.0/24	Canadian Radio-television and Telecommunications 
199.246.251.0/24	Canadian Radio-television and Telecommunications 
199.246.252.0/24	Canadian Radio-television and Telecommunications 
199.246.253.0/24	Canadian Radio-television and Telecommunications 
204.187.48.0/24	Canadian Hydrographic Service 
205.189.5.0/24	Canada Centre for Inland Waters 
205.189.6.0/24	Canada Centre for Inland Waters 
205.189.7.0/24	Canada Centre for Inland Waters 
205.189.8.0/24	Environment Canada 
205.189.9.0/24	Environment Canada 
205.189.10.0/24	Environment Canada 
205.193.0.0/16	Shared Services Canada 
205.193.6.0/24	Shared Services Canada 
205.193.35.0/24	Shared Services Canada 
205.193.37.0/24	Shared Services Canada 
205.194.0.0/17	Shared Services Canada 
205.194.23.0/24	Shared Services Canada 
205.211.132.0/24	Environment Canada 
205.211.133.0/24	Environment Canada
205.211.134.0/24	Environment Canada
128.43.0.0/16   XDRENET-AS - Defence Research Establishment
